Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CJPS_CRUST_1_100,1,CRUST,0.000395995,4.98,0.9,45.3,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_101,1,CRUST,0.000396423,4.98,0.9,45.3,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_102,1,CRUST,0.000395973,4.98,0.9,45.3,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_103,1,CRUST,0.000394775,4.98,0.9,45.3,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_104,1,CRUST,0.000393462,4.98,0.9,45.3,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_105,1,CRUST,0.000392703,4.98,0.9,45.3,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_106,1,CRUST,0.00039268,4.98,0.9,45.3,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_107,1,CRUST,0.000392985,4.98,0.9,45.3,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_108,1,CRUST,0.000392997,4.98,0.9,45.3,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_109,1,CRUST,0.000392383,4.98,0.9,45.3,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_110,1,CRUST,0.000396707,4.98,0.9,45.2,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_111,1,CRUST,0.000396021,4.98,0.9,45.2,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_112,1,CRUST,0.000395878,4.98,0.9,45.2,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_113,1,CRUST,0.000395919,4.98,0.9,45.2,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_114,1,CRUST,0.00039569,4.98,0.9,45.2,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_115,1,CRUST,0.000395017,4.98,0.9,45.2,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_116,1,CRUST,0.000394221,4.98,0.9,45.2,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_117,1,CRUST,0.000393944,4.98,0.9,45.2,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_118,1,CRUST,0.000394637,4.98,0.9,45.2,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_119,1,CRUST,0.000396103,4.98,0.9,45.2,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_120,1,CRUST,0.000397472,4.98,0.9,45.2,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_121,1,CRUST,0.000397771,4.98,0.9,45.2,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_122,1,CRUST,0.000396631,4.98,0.9,45.2,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_123,1,CRUST,0.000399331,4.98,0.9,45.1,139.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_124,1,CRUST,0.000398694,4.98,0.9,45.1,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_125,1,CRUST,0.000398274,4.98,0.9,45.1,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_126,1,CRUST,0.000398014,4.98,0.9,45.1,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_127,1,CRUST,0.000397578,4.98,0.9,45.1,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_128,1,CRUST,0.000396674,4.98,0.9,45.1,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_129,1,CRUST,0.000395463,4.98,0.9,45.1,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_130,1,CRUST,0.000394604,4.98,0.9,45.1,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_131,1,CRUST,0.00039485,4.98,0.9,45.1,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_132,1,CRUST,0.00039648,4.98,0.9,45.1,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_133,1,CRUST,0.000398934,4.98,0.9,45.1,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_134,1,CRUST,0.000400952,4.98,0.9,45.1,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_135,1,CRUST,0.00040132,4.98,0.9,45.1,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_136,1,CRUST,0.000399705,4.98,0.9,45.1,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
