Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_85,INTRA,0.00100776,4.98,0.9,35.2,137.6,49.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_86,INTRA,0.000939511,4.98,0.9,35.2,137.7,48.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_87,INTRA,0.000963648,4.98,0.9,35.2,137.8,46.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_88,INTRA,0.00109846,4.98,0.9,35.2,137.9,44.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_89,INTRA,0.00125522,4.98,0.9,35.2,138.0,41.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_90,INTRA,0.00130604,4.98,0.9,35.2,138.1,38.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_91,INTRA,0.00120759,4.98,0.9,35.2,138.2,33.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_92,INTRA,0.00101513,4.98,0.9,35.2,138.3,28.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_93,INTRA,0.000806584,4.98,0.9,35.2,138.4,25.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_94,INTRA,0.000635903,4.98,0.9,35.2,138.5,22.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_95,INTRA,0.00053672,4.98,0.9,35.2,138.6,20.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_96,INTRA,0.000336761,4.98,0.9,35.1,135.7,85.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_97,INTRA,0.000344882,4.98,0.9,35.1,135.8,80.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_98,INTRA,0.000356369,4.98,0.9,35.1,135.9,75.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_99,INTRA,0.000369744,4.98,0.9,35.1,136.0,70.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_100,INTRA,0.000382968,4.98,0.9,35.1,136.1,66.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_101,INTRA,0.000396207,4.98,0.9,35.1,136.2,62.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_102,INTRA,0.000413381,4.98,0.9,35.1,136.3,59.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_103,INTRA,0.000440484,4.98,0.9,35.1,136.4,56.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_104,INTRA,0.000485276,4.98,0.9,35.1,136.5,53.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_105,INTRA,0.000559317,4.98,0.9,35.1,136.6,50.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_106,INTRA,0.000671307,4.98,0.9,35.1,136.7,48.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_107,INTRA,0.000809494,4.98,0.9,35.1,136.8,46.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_108,INTRA,0.000936838,4.98,0.9,35.1,136.9,46.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_109,INTRA,0.00101839,4.98,0.9,35.1,137.0,46.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_110,INTRA,0.00105648,4.98,0.9,35.1,137.1,47.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_111,INTRA,0.00109044,4.98,0.9,35.1,137.2,47.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_112,INTRA,0.00115017,4.98,0.9,35.1,137.3,47.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_113,INTRA,0.00121305,4.98,0.9,35.1,137.4,47.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_114,INTRA,0.00122483,4.98,0.9,35.1,137.5,46.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_115,INTRA,0.00117157,4.98,0.9,35.1,137.6,46.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_116,INTRA,0.00111608,4.98,0.9,35.1,137.7,44.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_117,INTRA,0.00114653,4.98,0.9,35.1,137.8,43.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_118,INTRA,0.0012829,4.98,0.9,35.1,137.9,40.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_119,INTRA,0.00143779,4.98,0.9,35.1,138.0,37.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_120,INTRA,0.00148668,4.98,0.9,35.1,138.1,34.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_121,INTRA,0.00137786,4.98,0.9,35.1,138.2,30.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_122,INTRA,0.00115776,4.98,0.9,35.1,138.3,26.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_123,INTRA,0.00091136,4.98,0.9,35.1,138.4,23.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_124,INTRA,0.000702862,4.98,0.9,35.1,138.5,20.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_125,INTRA,0.000559078,4.98,0.9,35.1,138.6,18.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_126,INTRA,0.000344289,4.98,0.9,35.0,135.6,87.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_127,INTRA,0.000353486,4.98,0.9,35.0,135.7,83.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_128,INTRA,0.000368885,4.98,0.9,35.0,135.8,78.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_129,INTRA,0.000387675,4.98,0.9,35.0,135.9,74.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
