Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CYNG_INTER_1_105,INTER,0.0413971,4.98,0.9,24.2,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_106,INTER,0.0387439,4.98,0.9,24.2,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_107,INTER,0.0332232,4.98,0.9,24.2,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_108,INTER,0.0262301,4.98,0.9,24.2,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_109,INTER,0.0202062,4.98,0.9,24.2,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_110,INTER,0.0163997,4.98,0.9,24.2,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_111,INTER,0.014233,4.98,0.9,24.2,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_112,INTER,0.012752,4.98,0.9,24.2,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_113,INTER,0.0442884,4.98,0.9,24.1,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_114,INTER,0.0417223,4.98,0.9,24.1,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_115,INTER,0.0361298,4.98,0.9,24.1,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_116,INTER,0.0291097,4.98,0.9,24.1,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_117,INTER,0.0231822,4.98,0.9,24.1,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_118,INTER,0.019389,4.98,0.9,24.1,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_119,INTER,0.0169515,4.98,0.9,24.1,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_120,INTER,0.0149697,4.98,0.9,24.1,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_121,INTER,0.0386922,4.98,0.9,24.0,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_122,INTER,0.0368503,4.98,0.9,24.0,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_123,INTER,0.0327406,4.98,0.9,24.0,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_124,INTER,0.0277369,4.98,0.9,24.0,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_125,INTER,0.0236382,4.98,0.9,24.0,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_126,INTER,0.0208485,4.98,0.9,24.0,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
