,code,source,proba1an
265,CGR5_4_887,ZoneEarthquake,0.000201661
266,CGR5_4_886,ZoneEarthquake,0.000201479
267,CGR5_4_885,ZoneEarthquake,0.00020224
268,CGR5_4_884,ZoneEarthquake,0.00020514
269,CGR5_4_889,ZoneEarthquake,0.000203457
270,CGR5_4_888,ZoneEarthquake,0.000202429
271,CPCF_INTRA_11_5418,DomainEarthquake,0.00324452
272,CIZU_2_331,ZoneEarthquake,0.000537256
273,CIZU_2_330,ZoneEarthquake,0.000454402
274,CIZU_2_333,ZoneEarthquake,0.000723176
275,CIZU_2_332,ZoneEarthquake,0.000634978
276,CPCF_INTRA_11_5415,DomainEarthquake,0.00206171
277,CIZU_2_334,ZoneEarthquake,0.000785003
278,CPCF_INTRA_11_5417,DomainEarthquake,0.00282563
279,CPCF_INTRA_11_5416,DomainEarthquake,0.00240452
280,CJPS_1_876,ZoneEarthquake,0.000649933
281,CJPS_1_877,ZoneEarthquake,0.00071387
282,CJPS_1_874,ZoneEarthquake,0.000559247
283,CJPS_1_875,ZoneEarthquake,0.000598954
284,CJPS_1_872,ZoneEarthquake,0.000643123
285,CJPS_1_873,ZoneEarthquake,0.000526743
286,CJPS_1_870,ZoneEarthquake,0.000728253
287,CJPS_1_871,ZoneEarthquake,0.000693242
288,CJPS_1_878,ZoneEarthquake,0.000779879
289,CJPS_1_879,ZoneEarthquake,0.000823811
290,CGR5_25_11034,ZoneEarthquake,0.000842867
291,CGR5_25_11035,ZoneEarthquake,0.000841429
292,CGR5_25_11036,ZoneEarthquake,0.000842023
293,CGR5_25_11037,ZoneEarthquake,0.00084655
294,CGR5_25_11030,ZoneEarthquake,0.00126316
295,CGR5_25_11031,ZoneEarthquake,0.00100702
296,CGR5_25_11032,ZoneEarthquake,0.000890116
297,CGR5_25_11033,ZoneEarthquake,0.000851868
298,CPHL_INTER_1_106,ZoneEarthquake,0.000223769
299,CPHL_INTER_1_107,ZoneEarthquake,0.000269831
300,CPHL_INTER_1_104,ZoneEarthquake,0.000161759
