Code,Proba
CIZU_3_1064,0.000381066
CIZU_3_1065,0.000381066
CIZU_3_1068,0.000381444
CIZU_3_1069,0.000381444
CPHL_INTRA_5_2006,0.0018628
CPHL_INTRA_5_2007,0.00140284
CPHL_INTRA_5_2000,0.00215409
CPCF_INTER_12_7711,0.00188899
CPHL_INTRA_5_2001,0.00238119
CGR5_3_1478,0.00026055
CPHL_INTRA_5_2002,0.00249819
CPHL_INTRA_5_2003,0.00257412
CGR5_23_7012,0.000310873
CGR5_23_7010,0.000265937
CGR5_23_7011,0.000283689
CPCF_INTRA_12_6281,0.000440687
CPCF_INTRA_12_6282,0.000464135
CPHL_INTRA_1_1100,0.000436735
CPCF_INTRA_13_6098,0.000694807
CPCF_INTRA_13_6099,0.000918112
CPCF_INTER_2_2039,0.00352014
CPCF_INTER_2_2038,0.00342194
CPCF_INTER_2_2037,0.00330581
CPCF_INTER_2_2036,0.00320293
CPCF_INTER_2_2035,0.00313692
CPCF_INTER_2_2034,0.00311331
CPCF_INTER_2_2033,0.00312735
CPCF_INTER_2_2032,0.00317425
CPCF_INTER_2_2031,0.00324756
CPCF_INTER_2_2030,0.00333243
CGR5_25_8718,0.00125504
CGR5_25_8719,0.00109286
CGR5_25_8712,0.000808925
CGR5_25_8713,0.000846871
CGR5_25_8710,0.000795275
CGR5_25_8711,0.000797697
CGR5_25_8716,0.00125474
CGR5_25_8717,0.00132675
CGR5_25_8714,0.000938689
CGR5_25_8715,0.00109223
CGR5_11_4222,0.000611762
CPHL_INTRA_1_1106,0.000536737
CPHL_INTRA_1_1107,0.000544914
CPHL_INTRA_1_1108,0.000548331
CPHL_INTRA_1_1109,0.00054446
CPCF_INTRA_12_7377,0.000331224
CGR5_22_4717,0.0005278
CGR5_22_4716,0.000548202
CGR5_22_4715,0.000523759
CGR5_22_4714,0.000468338
CGR5_22_4713,0.00041217
CGR5_22_4712,0.000377068
CGR5_22_4711,0.000362355
CGR5_22_4710,0.000353152
CGR5_22_4718,0.000475001
CPHL_INTER_5_3525,0.00159669
CGR5_15_6669,0.000588209
CPHL_INTRA_1_686,0.000591217
CGR5_15_6667,0.000552315
CGR5_15_6666,0.000559125
CGR5_15_6665,0.000575069
CGR5_15_6664,0.000595411
CGR5_15_6663,0.000615283
CGR5_15_6662,0.000631553
CGR5_15_6661,0.000649755
CGR5_15_6660,0.000686601
CPCF_INTRA_12_6695,0.000440109
CIZU_1_239,0.001652
CPCF_INTER_1_282,0.010433
CPCF_INTER_1_283,0.0101226
CPCF_INTER_1_280,0.0113313
CPCF_INTER_1_281,0.0108229
CGR5_7_3538,0.00072217
CGR5_7_3539,0.00057462
CGR5_7_3537,0.000878814
CGR5_13_6874,0.00110282
CGR5_13_6875,0.00101067
CGR5_13_6876,0.000907569
CGR5_13_6877,0.000825508
CGR5_13_6878,0.000772256
CGR5_13_6879,0.00073643
CPHL_INTRA_1_685,0.000605548
CPCF_INTER_1_758,0.0182783
CPCF_INTER_1_759,0.0177041
CPCF_INTRA_1_439,0.00493263
CPCF_INTRA_1_438,0.00488147
CPCF_INTER_1_754,0.0128527
CPCF_INTER_1_755,0.0145934
CPCF_INTER_1_756,0.0164088
CPCF_INTER_1_757,0.0177968
CPCF_INTRA_1_433,0.00384143
CPCF_INTRA_1_432,0.00363687
CPCF_INTRA_1_431,0.00346056
CPCF_INTER_1_753,0.0114824
CGR5_16_7625,0.000426447
CGR5_16_7624,0.00038981
CGR5_4_579,0.000207128
CGR5_4_578,0.000205645
CGR5_4_573,0.000205839
CGR5_4_572,0.000207447
CGR5_4_571,0.00020992
CGR5_4_570,0.000213296
CGR5_4_577,0.000204469
CGR5_4_576,0.00020402
CGR5_4_575,0.000204224
CGR5_4_574,0.000204839
CPHL_INTRA_5_2718,0.00222814
CPHL_INTRA_5_2719,0.00191417
CPHL_INTRA_5_2714,0.00167591
CPHL_INTRA_5_2715,0.00188832
CPHL_INTRA_5_2716,0.00217724
CPHL_INTRA_5_2717,0.00233066
CPHL_INTRA_5_2710,0.00129316
CPHL_INTRA_5_2711,0.00150729
CPHL_INTRA_5_2712,0.00161736
CPHL_INTRA_5_2713,0.00162535
CPCF_INTER_1_1905,0.00854418
CGR5_5_640,0.000323686
