Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
F014621,BrownianPassageTime,BSI,800,170,0.24,"BPT(mu=800.0,t0=170.0,alph=0.24)",Nagano-bonchi-seien fault zone (Iyama-Chikuma segment)
F014622,Poisson,PSI,3000,,,P(lmbd=3000.0),Nagano-bonchi-seien fault zone (Omi segment)
F01462A,Multi,SIM,-,-,0.0,multi,Nagano-bonchi-seien fault zone (All segment)
F014721,BrownianPassageTime,BSI,10000,6200,0.24,"BPT(mu=10000.0,t0=6200.0,alph=0.24)",Fukaya fault zone
F014821,BrownianPassageTime,BSI,45000,15000,0.24,"BPT(mu=45000.0,t0=15000.0,alph=0.24)",Ayasegawa fault (Kounosu-Ina segment)
F014822,Poisson,PSI,38000,,,P(lmbd=38000.0),Ayasegawa fault (Ina-Kawaguchi segment)
F01482A,Multi,SIM,-,-,0.0,multi,Fukaya/Ayasegawa fault zone (Fukaya fault zone/Kounosu-Ina segment)
F01482B,Multi,SIM,-,-,0.0,multi,Fukaya/Ayasegawa fault zone (Kounosu-Ina segment/Ina-Kawaguchi segment)
F01482C,Multi,SIM,-,-,0.0,multi,Fukaya/Ayasegawa fault zone (All segment)
F014921,Poisson,POI,28000,,,P(lmbd=28000.0),Ogose fault
F015021,BrownianPassageTime,BPT,10000,20000,0.24,"BPT(mu=10000.0,t0=20000.0,alph=0.24)",Tachikawa fault zone
F015121,Poisson,POI,57000,,,P(lmbd=57000.0),Kamogawa-teichi fault zone
F015221,BrownianPassageTime,BPT,1900,1517,0.24,"BPT(mu=1900.0,t0=1517.0,alph=0.24)",Miura-hanto fault group (Main part/Kinugasa/Kitatake fault zone)
F015222,BrownianPassageTime,BPT,1600,2300,0.24,"BPT(mu=1600.0,t0=2300.0,alph=0.24)",Miura-hanto fault group (Main part/Takeyama fault zone)
F015223,BrownianPassageTime,BPT,22000,26000,0.24,"BPT(mu=22000.0,t0=26000.0,alph=0.24)",Miura-hanto fault group (Southern part)
