#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_AETRF,   1
AETRF,-8.1, 25.0, 484,Etorofuto-Oki Earthquake
 255,151.773, 45.842,151.768, 45.844, 30.1
 256,151.712, 45.900,151.707, 45.902, 34.1
 257,151.651, 45.958,151.646, 45.960, 38.2
 258,151.915, 45.827,151.910, 45.829, 26.1
 259,151.854, 45.885,151.849, 45.887, 29.9
 260,151.793, 45.943,151.788, 45.945, 34.0
 261,151.995, 45.869,151.990, 45.871, 25.7
 262,151.934, 45.927,151.929, 45.929, 29.7
 263,148.991, 44.189,148.987, 44.192, 23.6
 264,149.050, 44.131,149.046, 44.134, 20.9
 265,149.109, 44.073,149.105, 44.076, 18.9
 266,149.072, 44.232,149.067, 44.235, 23.9
 267,149.132, 44.174,149.127, 44.177, 21.3
 268,149.191, 44.116,149.186, 44.119, 19.2
 269,149.250, 44.058,149.245, 44.061, 17.4
 270,149.153, 44.275,149.148, 44.278, 24.0
 271,149.212, 44.217,149.207, 44.220, 21.4
 272,149.272, 44.159,149.267, 44.162, 19.2
 273,149.331, 44.101,149.326, 44.104, 17.3
 274,149.234, 44.317,149.229, 44.320, 24.0
 275,149.293, 44.259,149.288, 44.262, 21.2
 276,149.352, 44.201,149.347, 44.204, 18.9
 277,149.412, 44.143,149.407, 44.146, 17.2
 278,149.471, 44.085,149.466, 44.088, 15.6
 279,149.314, 44.360,149.309, 44.363, 23.8
 280,149.374, 44.302,149.369, 44.305, 20.8
 281,149.433, 44.244,149.428, 44.247, 18.7
 282,149.493, 44.186,149.488, 44.189, 17.2
 283,149.552, 44.128,149.547, 44.131, 15.7
 284,149.395, 44.403,149.390, 44.406, 23.8
 285,149.454, 44.345,149.449, 44.348, 21.1
 286,149.514, 44.287,149.509, 44.290, 19.0
 287,149.573, 44.229,149.568, 44.232, 17.3
 288,149.633, 44.171,149.628, 44.174, 15.8
 289,149.693, 44.113,149.688, 44.116, 14.3
 290,149.476, 44.445,149.471, 44.448, 24.2
 291,149.535, 44.387,149.530, 44.390, 21.6
 292,149.595, 44.329,149.590, 44.332, 19.4
 293,149.654, 44.271,149.649, 44.274, 17.5
 294,149.714, 44.213,149.709, 44.216, 15.8
 295,149.773, 44.155,149.768, 44.158, 14.3
 296,149.556, 44.488,149.551, 44.491, 24.4
 297,149.616, 44.430,149.611, 44.433, 21.7
 298,149.675, 44.372,149.670, 44.375, 19.5
 299,149.735, 44.314,149.730, 44.317, 17.5
 300,149.795, 44.256,149.790, 44.259, 15.8
 301,149.854, 44.198,149.849, 44.201, 14.3
 302,149.637, 44.531,149.632, 44.534, 24.3
 303,149.696, 44.473,149.691, 44.476, 21.6
 304,149.756, 44.415,149.751, 44.418, 19.3
 305,149.816, 44.357,149.811, 44.360, 17.4
 306,149.875, 44.299,149.870, 44.302, 15.8
 307,149.935, 44.241,149.930, 44.244, 14.3
 308,149.995, 44.183,149.990, 44.186, 12.8
 309,149.717, 44.573,149.712, 44.576, 24.0
 310,149.777, 44.515,149.772, 44.518, 21.1
 311,149.837, 44.457,149.832, 44.460, 18.9
 312,149.897, 44.399,149.892, 44.402, 17.2
 313,149.956, 44.341,149.951, 44.344, 15.7
 314,150.016, 44.283,150.011, 44.286, 14.2
 315,150.076, 44.225,150.071, 44.228, 12.8
 316,149.798, 44.616,149.793, 44.619, 23.8
 317,149.858, 44.558,149.853, 44.561, 20.6
 318,149.918, 44.500,149.913, 44.503, 18.8
 319,149.977, 44.442,149.972, 44.445, 17.2
 320,150.037, 44.384,150.032, 44.387, 15.7
 321,150.097, 44.326,150.092, 44.329, 14.3
 322,150.157, 44.268,150.152, 44.271, 12.8
 323,149.879, 44.659,149.874, 44.662, 23.9
 324,149.939, 44.601,149.934, 44.604, 21.2
 325,149.998, 44.543,149.993, 44.546, 19.1
 326,150.058, 44.485,150.053, 44.488, 17.3
 327,150.118, 44.427,150.113, 44.430, 15.8
 328,150.178, 44.369,150.173, 44.372, 14.3
 329,150.237, 44.311,150.232, 44.314, 12.9
 330,149.959, 44.701,149.954, 44.704, 24.2
 331,150.019, 44.643,150.014, 44.646, 21.5
 332,150.079, 44.585,150.074, 44.588, 19.2
 333,150.139, 44.527,150.134, 44.530, 17.4
 334,150.199, 44.469,150.194, 44.472, 15.8
 335,150.259, 44.411,150.254, 44.414, 14.3
 336,150.318, 44.353,150.313, 44.356, 12.9
 337,150.040, 44.744,150.035, 44.747, 24.2
 338,150.100, 44.686,150.095, 44.689, 21.4
 339,150.160, 44.628,150.155, 44.631, 19.1
 340,150.220, 44.570,150.215, 44.573, 17.2
 341,150.280, 44.512,150.275, 44.515, 15.7
 342,150.339, 44.454,150.334, 44.457, 14.3
