#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_A98F, 260
F000101,-7.1,   1,Shibetsu fault zone
F004502, 6.3,   1,Kiso-sanmyaku-seien fault zone (Main part/Southern segment)
   1,137.586, 35.514,137.583, 35.517,  2.0,  9.4,  9.0,  9.3, 90.0
F004503,-6.8,   1,Seinaiji toge fault zone
   1,137.620, 35.380,137.617, 35.383,  2.0, 38.0, 16.0, 12.8, 90.0
F004601,-7.0,   1,Sakaitoge-Kamiya fault zone (Main part)
   1,137.903, 35.847,137.900, 35.850,  2.0, 52.0, 16.0,325.0, 90.0
F004602,-6.7,   1,Mutoyama-Narai fault zone
   1,137.770, 35.918,137.767, 35.921,  2.0, 32.0, 16.0, 48.7, 90.0
F004701,-7.2,   1,Atotsugawa fault zone
   1,136.936, 36.264,136.933, 36.267,  2.0, 74.0, 16.0, 59.6, 90.0
F004801,-6.6,   1,Kokufu fault zone
   1,136.999, 36.044,136.996, 36.047,  2.0, 28.0, 14.0, 50.0, 90.0
F004802,-6.9,   1,Takayama fault zone
   1,136.979, 35.885,136.976, 35.888,  2.0, 48.0, 14.0, 50.0, 90.0
F004803,-6.5,   1,Inohana fault zone
   1,137.284, 35.929,137.281, 35.932,  2.0, 24.0, 14.0, 60.0, 90.0
F004901,-7.1,   1,Ushikubi fault zone
   1,136.886, 36.264,136.883, 36.267,  2.0, 58.0, 16.0, 52.5, 90.0
F005001,-7.2,   1,Shokawa fault zone
   1,137.063, 35.909,137.060, 35.912,  2.0, 72.0, 14.0,340.3, 90.0
F005101,-7.3,   2,Inadani fault zone (Main part)
   1,137.861, 35.634,137.858, 35.637,  2.0, 37.5, 18.0,214.0, 70.0
   2,137.861, 35.634,137.858, 35.637,  2.0, 41.5, 18.0, 10.0,110.0
F005102,-6.8,   1,Inadani fault zone (Southeastern part)
   1,137.832, 35.514,137.829, 35.517,  2.0, 34.0, 18.0,200.0, 60.0
F005201,-6.4,   1,Atera fault zone (Main part/Northern segment)
   1,137.223, 35.834,137.220, 35.837,  2.0, 20.0, 16.0,349.8, 90.0
