#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AGR1, 151
G030001, 6.6,   1,Rausu-dake fault zone
G030107, 6.8,   2,Suzuka-sakashita fault zone
   1,136.454, 34.938,136.451, 34.941,  3.0,  8.5, 15.0,243.7, 90.0
   2,136.370, 34.904,136.367, 34.907,  3.0,  6.4, 15.0,257.4, 90.0
G030108, 6.5,   1,Kyogamine-minami fault
   1,136.294, 34.767,136.291, 34.770,  3.0, 10.3, 10.0,103.1, 90.0
G030109, 7.0,   1,Chuo-kozosen Taki
   1,136.423, 34.447,136.420, 34.450,  3.0, 19.4, 15.0, 83.4, 90.0
G030110, 6.8,   1,Ieki fault zone
   1,136.353, 34.637,136.350, 34.640,  3.0, 16.2, 15.0,214.6, 90.0
G030111, 7.3,   1,Nabari fault zone
   1,136.254, 34.711,136.251, 34.714,  3.0, 29.1, 15.0,232.3, 90.0
G030112, 6.8,   2,Shigaraki fault zone
   1,136.109, 34.951,136.106, 34.954,  3.0, 12.0, 15.0,203.0, 90.0
   2,136.058, 34.852,136.055, 34.855,  3.0,  4.5, 15.0,240.9, 90.0
G030113, 6.7,   1,Wazuka-dani fault
   1,135.953, 34.843,135.950, 34.846,  3.0, 14.1, 14.0,220.4, 90.0
G030114, 6.5,   1,Tahara fault
   1,135.951, 34.727,135.948, 34.730,  3.0, 10.1, 10.0,191.1, 90.0
G030115, 6.8,   1,Ayame-ike flexure zone
   1,135.793, 34.771,135.790, 34.774,  3.0, 14.6, 15.0,185.4, 90.0
G030116, 7.1,   2,Keihanna-kyuryo flexure zone
   1,135.779, 34.778,135.776, 34.781,  3.0, 20.4, 15.0,194.6, 90.0
   2,135.723, 34.600,135.720, 34.603,  3.0,  3.4, 15.0,252.5, 90.0
G030117, 6.8,   2,Habikino fault zone
   1,135.606, 34.546,135.603, 34.549,  3.0,  3.5, 15.0,180.6, 90.0
   2,135.605, 34.515,135.602, 34.518,  3.0, 12.0, 15.0,212.1, 90.0
G030118, 6.8,   1,Izumi-hokuroku fault zone
   1,135.525, 34.418,135.522, 34.421,  3.0, 16.2, 15.0,253.3, 90.0
G030119, 7.4,   1,Chuo-kozosen Gojo
   1,135.996, 34.418,135.993, 34.421,  3.0, 36.6, 15.0,255.3, 90.0
G030120, 6.8,   2,Habu fault
   1,135.370, 35.065,135.367, 35.068,  3.0,  9.3, 15.0,101.7, 90.0
   2,135.470, 35.048,135.467, 35.051,  3.0,  6.3, 15.0,126.9, 90.0
G030121, 6.6,   1,Nakayama fault zone
   1,135.192, 35.694,135.189, 35.697,  3.0, 11.5, 11.0,261.2, 90.0
G030122, 6.5,   1,Mitakesan fault
   1,135.097, 35.410,135.094, 35.413,  3.0,  9.6, 10.0,211.8, 90.0
G030123, 7.3,   1,Gosho-dani fault zone
   1,135.273, 35.067,135.270, 35.070,  3.0, 28.6, 15.0,239.7, 90.0
G030124, 6.6,   1,Takatsuka-yama fault
   1,135.070, 34.754,135.067, 34.757,  3.0, 12.2, 12.0,177.2, 90.0
G030125, 6.5,   1,Shizuki fault zone
   1,134.915, 34.420,134.912, 34.423,  3.0, 10.4, 10.0,338.2, 90.0
G030126, 6.7,   1,Hansanji fault zone
   1,134.738, 34.207,134.735, 34.210,  3.0, 14.0, 14.0,358.1, 90.0
G030127, 7.0,   1,Yabu fault zone
   1,134.914, 35.342,134.911, 35.345,  3.0, 21.0, 15.0,281.5, 90.0
G030128, 6.6,   1,Akenobe-hoppo fault
   1,134.742, 35.313,134.739, 35.316,  3.0, 12.4, 12.0,251.4, 90.0
G030129, 6.5,   1,Hikihara fault
   1,134.577, 35.278,134.574, 35.281,  3.0,  9.5, 10.0,199.8, 90.0
G030135, 6.6,   1,Fukuyama fault zone
   1,133.454, 34.532,133.451, 34.535,  3.0, 10.6, 11.0,243.1, 90.0
G030136, 6.5,   1,Mitsugi fault
   1,133.213, 34.547,133.210, 34.550,  3.0, 10.5, 10.0,232.1, 90.0
G030137, 6.5,   1,Shobara fault
   1,133.095, 34.897,133.092, 34.900,  3.0,  9.3, 10.0,205.6, 90.0
G030138, 6.6,   2,Miyoshi fault zone
   1,132.972, 34.856,132.969, 34.859,  3.0,  6.8, 11.0,217.9, 90.0
   2,132.926, 34.807,132.923, 34.810,  3.0,  4.4, 11.0,271.3, 90.0
G030139, 6.8,   1,Kamine fault
   1,132.624, 34.631,132.621, 34.634,  3.0, 15.3, 15.0,218.9, 90.0
G030143, 6.8,   1,Shibuki fault
   1,131.239, 34.352,131.237, 34.355,  3.0, 15.7, 15.0,211.9, 90.0
G030144, 6.7,   1,Tokushima-heiya-nanen fault zone
   1,134.469, 34.049,134.466, 34.052,  3.0, 12.7, 13.0,270.6, 90.0
G030145, 7.2,   1,Akui-gawa fault zone
   1,134.463, 33.988,134.460, 33.991,  3.0, 28.4, 15.0,250.3, 90.0
G030146, 7.1,   1,Ebata fault zone
   1,133.937, 34.146,133.934, 34.149,  3.0, 21.6, 15.0,241.8, 90.0
G030147, 6.8,   1,Takanawa-san-kita fault
   1,132.952, 33.981,132.949, 33.984,  3.0, 14.5, 15.0,254.1, 90.0
G030148, 6.6,   1,Tsunatsukimori fault
   1,133.969, 33.813,133.966, 33.816,  3.0, 10.6, 11.0,247.7, 90.0
G030150, 6.9,   1,Gyodo-zaki fault
   1,134.228, 33.422,134.225, 33.425,  3.0, 17.5, 15.0,214.5, 90.0
G030151, 7.1,   1,Kochi-Agawa
   1,133.456, 33.676,133.453, 33.679,  3.0, 21.9, 15.0,249.9, 90.0
G030152, 7.2,   1,Sukumo-Nakamura fault zone
   1,132.891, 32.982,132.888, 32.985,  3.0, 25.9, 15.0,253.5, 90.0
G030153, 6.5,   2,Tosashimizu-kita fault zone
   1,132.908, 32.828,132.905, 32.831,  3.0,  5.3, 10.0,220.9, 90.0
   2,132.871, 32.792,132.868, 32.795,  3.0,  4.4, 10.0,257.9, 90.0
G030172, 6.7,   1,Tanega-shima-hokubu fault
   1,131.074, 30.679,131.072, 30.683,  3.0, 14.3, 14.0,325.0, 90.0
G030173, 6.9,   2,Yaku-shima-nangan fault zone
   1,130.636, 30.285,130.634, 30.289,  3.0,  7.1, 15.0,228.7, 90.0
   2,130.581, 30.243,130.579, 30.247,  3.0, 11.1, 15.0,264.1, 90.0
G030174, 6.7,   1,Kikai-jima fault zone
   1,130.027, 28.367,130.025, 28.371,  3.0, 13.6, 14.0,217.5, 90.0
G030175, 6.7,   2,Okinoerabu-jima fault zone
   1,128.702, 27.426,128.700, 27.430,  3.0,  9.8, 13.0,236.6, 90.0
