#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ATHOP,   1
ATHOP,-9.0, 28.9, 907,Great East Japan Earthquake (2011 type)
 273,142.500, 38.500,142.496, 38.503, 28.1
 274,142.600, 38.500,142.596, 38.503, 26.1
 275,142.700, 38.500,142.696, 38.503, 24.2
 276,142.800, 38.500,142.796, 38.503, 22.4
 277,142.900, 38.500,142.896, 38.503, 20.7
 278,143.000, 38.500,142.996, 38.503, 19.2
 279,143.100, 38.500,143.096, 38.503, 17.9
 280,143.200, 38.500,143.196, 38.503, 16.6
 281,143.300, 38.500,143.296, 38.503, 15.4
 282,143.400, 38.500,143.396, 38.503, 14.2
 283,143.500, 38.500,143.496, 38.503, 13.0
 284,143.600, 38.500,143.596, 38.503, 11.8
 285,143.700, 38.500,143.696, 38.503, 10.7
 286,143.800, 38.500,143.796, 38.503,  9.8
 287,143.900, 38.500,143.896, 38.503,  8.9
 288,144.000, 38.500,143.996, 38.503,  8.1
 289,141.800, 38.400,141.796, 38.403, 50.0
 290,141.900, 38.400,141.896, 38.403, 46.7
 291,142.000, 38.400,141.996, 38.403, 43.5
 292,142.100, 38.400,142.096, 38.403, 40.4
 293,142.200, 38.400,142.196, 38.403, 36.7
 294,142.300, 38.400,142.296, 38.403, 33.1
 295,142.400, 38.400,142.396, 38.403, 30.0
 296,142.500, 38.400,142.496, 38.403, 27.6
 297,142.600, 38.400,142.596, 38.403, 25.6
 298,142.700, 38.400,142.696, 38.403, 23.7
 299,142.800, 38.400,142.796, 38.403, 21.9
 300,142.900, 38.400,142.896, 38.403, 20.2
 301,143.000, 38.400,142.996, 38.403, 18.8
 302,143.100, 38.400,143.096, 38.403, 17.6
 303,143.200, 38.400,143.196, 38.403, 16.3
 304,143.300, 38.400,143.296, 38.403, 15.1
 305,143.400, 38.400,143.396, 38.403, 13.9
 306,143.500, 38.400,143.496, 38.403, 12.7
 307,143.600, 38.400,143.596, 38.403, 11.6
 308,143.700, 38.400,143.696, 38.403, 10.5
 309,143.800, 38.400,143.796, 38.403,  9.6
 310,143.900, 38.400,143.896, 38.403,  8.7
 311,144.000, 38.400,143.996, 38.403,  7.8
 312,141.800, 38.300,141.796, 38.303, 49.1
