Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CJPS_CRUST_1_310,CJPS_CRUST,1,310.0,FRQ(0.000606188),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 44.1)
CJPS_CRUST_1_313,CJPS_CRUST,1,313.0,FRQ(0.000590272),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 44)
CJPS_CRUST_1_312,CJPS_CRUST,1,312.0,FRQ(0.00058883),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 44)
CJPS_CRUST_1_319,CJPS_CRUST,1,319.0,FRQ(0.000420664),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 44)
CJPS_CRUST_1_318,CJPS_CRUST,1,318.0,FRQ(0.000432604),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 44)
CJPS_CRUST_1_874,CJPS_CRUST,1,874.0,FRQ(0.000559247),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 39.9)
CJPS_CRUST_1_875,CJPS_CRUST,1,875.0,FRQ(0.000598954),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 39.9)
CJPS_CRUST_1_876,CJPS_CRUST,1,876.0,FRQ(0.000649933),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 39.9)
CJPS_CRUST_1_877,CJPS_CRUST,1,877.0,FRQ(0.00071387),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 39.9)
CJPS_CRUST_1_870,CJPS_CRUST,1,870.0,FRQ(0.000728253),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 40)
CJPS_CRUST_1_871,CJPS_CRUST,1,871.0,FRQ(0.000693242),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 40)
CJPS_CRUST_1_872,CJPS_CRUST,1,872.0,FRQ(0.000643123),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 40)
CJPS_CRUST_1_873,CJPS_CRUST,1,873.0,FRQ(0.000526743),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.2 39.9)
CJPS_CRUST_1_878,CJPS_CRUST,1,878.0,FRQ(0.000779879),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 39.9)
CJPS_CRUST_1_879,CJPS_CRUST,1,879.0,FRQ(0.000823811),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 39.9)
CJPS_CRUST_1_290,CJPS_CRUST,1,290.0,FRQ(0.000498353),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.6 44.2)
CJPS_CRUST_1_291,CJPS_CRUST,1,291.0,FRQ(0.000528158),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.7 44.2)
CJPS_CRUST_1_292,CJPS_CRUST,1,292.0,FRQ(0.000549378),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 44.2)
CJPS_CRUST_1_293,CJPS_CRUST,1,293.0,FRQ(0.000600248),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 44.1)
CJPS_CRUST_1_294,CJPS_CRUST,1,294.0,FRQ(0.000604326),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 44.1)
CJPS_CRUST_1_295,CJPS_CRUST,1,295.0,FRQ(0.000596996),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 44.1)
CJPS_CRUST_1_296,CJPS_CRUST,1,296.0,FRQ(0.000573752),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 44.1)
CJPS_CRUST_1_297,CJPS_CRUST,1,297.0,FRQ(0.000535792),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 44.1)
CJPS_CRUST_1_298,CJPS_CRUST,1,298.0,FRQ(0.000491943),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 44.1)
CJPS_CRUST_1_299,CJPS_CRUST,1,299.0,FRQ(0.000454047),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 44.1)
CJPS_CRUST_1_126,CJPS_CRUST,1,126.0,FRQ(0.000398014),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 45.1)
CJPS_CRUST_1_127,CJPS_CRUST,1,127.0,FRQ(0.000397578),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 45.1)
CJPS_CRUST_1_124,CJPS_CRUST,1,124.0,FRQ(0.000398694),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 45.1)
